28,51,37,7752
17,45,38,5037
9,9,10,493
17,57,20,1360
11,35,27,3377
17,24,21,6343
30,60,32,4073
22,21,22,8346
33,35,31,4549
15,27,28,4387
16,25,20,6993
11,33,22,2919
18,49,23,2179
17,20,24,3744
9,20,13,1488
17,23,26,3641
15,32,20,7788
11,48,22,2407
8,22,11,3964
8,20,14,1527
19,30,23,1897
8,29,23,2195
13,35,40,77658
20,39,27,7744
22,42,27,11373
23,50,32,12881
34,43,32,5395
13,40,36,12949
12,41,35,10606
10,22,24,4327
18,24,21,7141
10,36,24,3333
8,30,23,5979
14,35,25,3368
30,63,47,14576
55,95,75,16249
30,91,60,17803
34,42,45,10103
15,36,26,1700
7,26,22,3435
9,21,18,2541
12,51,33,5763
16,25,12,2301
9,38,24,1220
12,28,22,2512
7,14,11,1504
13,20,25,5001
13,47,23,8771
16,42,28,9614
13,48,42,27373
6,34,17,5821
2,11,3,601
12,39,20,3770
6,32,15,928
7,34,20,1887
3,15,6,350
15,26,33,2864
8,20,17,1752
7,22,14,1201
15,28,30,3859
15,34,33,2438
11,30,25,3006
6,34,17,5821
2,11,3,601
12,39,20,3770
6,32,15,928
7,34,20,1887
10,36,24,3333
8,30,23,5979
3,15,6,350
14,35,25,3368
30,63,47,14576
15,26,33,2864
55,95,75,16249
30,91,60,17803
34,42,45,10103
15,36,26,1700
7,26,22,3435
9,21,18,2541
12,51,33,5763
16,25,12,2301
9,38,24,1220
12,28,22,2512
7,14,11,1504
13,20,25,5001
8,20,17,1752
13,47,23,8771
16,42,28,9614
7,22,14,1201
15,28,30,3859
15,34,33,2438
13,48,42,27373
11,30,25,3006
50,242,186,31138
61,499,206,46085
60,429,210,53125
64,445,265,66481
61,485,220,55529
67,513,240,67448
74,604,322,64919
75,637,369,104611
70,563,328,65204
75,591,280,73075
87,794,416,98489
